,Open Price,High Price,Low Price,Close Price,Date
0,404.66,407.02,402.2,402.47,2023-01-30
1,403.0,408.4,402.67,408.31,2023-01-31
2,407.1,415.59,404.22,412.67,2023-02-01
3,416.8,420.25,414.8,418.66,2023-02-02
4,413.52,418.95,413.04,414.35,2023-02-03
5,411.74,413.24,410.03,411.8,2023-02-06
6,410.77,418.43,409.53,417.12,2023-02-07
7,415.05,416.46,411.88,412.57,2023-02-08
