MSFT.O,MSFT.O,MSFT.O,MSFT.O,MSFT.O,MSFT.O,TSLA.O,TSLA.O,TSLA.O,TSLA.O,TSLA.O,TSLA.O,IVV,IVV,IVV,IVV,IVV,IVV
HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
124.0,123.76,122.57,122.62,109054,15648724,17.978648688000003,17.516649150000003,17.498649168,17.9333154,129726,182207297.20729718,291.9997044,291.89984130000005,290.64156624000003,290.73144303000004,19396,2879501
125.58,125.44,123.83,124.1,167915,24025521,17.706648960000003,17.593315739999998,17.04998295,17.34331599,109236,164158049.15804917,294.70100125500005,294.43636404,292.00140207270005,292.24936214999997,32460,4574652
125.85,125.01,124.52,125.79,198513,31256980,17.687982312,17.243982756,17.1999828,17.58998241,127498,160911970.9119709,294.73585347690005,293.81721282000007,293.65743186000003,294.3497827323,18728,2568684
131.37,129.15,128.83,130.06,261736,38033892,17.266649400000002,16.508650158000002,16.404650262,16.999983,252487,327741222.74122274,294.35647356,293.63745924000006,292.27932108000005,293.72733603,15151,1839123
130.5152,129.89,129.02,129.7,159772,23654933,16.445316888,15.675984323999998,15.408651258,16.4333169,258317,335410970.4109704,295.0954605,295.06550157000004,292.8118909923,293.70736341,18191,2160488
130.18,129.77,129.35,129.9,118151,16324183,16.265317067999998,16.097983902,15.477984522,15.723984276000003,165117,250717390.71739072,296.05414626,295.38506349000005,295.00228822770003,295.10544681,18117,2986573
130.7,130.6,129.3947,129.81,157407,24166503,16.280650386,15.912650754000001,15.7999842,16.137317196,88562,141969561.96956196,295.92432423,295.53485814000004,293.5075373469,295.08547419,27413,4549392
130.65,127.88,127.7,130.53,176193,26821692,15.999984000000001,15.600651066000001,15.4333179,15.92331741,108381,160565470.56547055,296.52350283000004,293.3977878,293.36782887,296.32377663000005,20437,2952102
128.0,126.21,125.52,127.98,215743,27350161,16.475316858,16.27331706,15.847984152000002,16.367983632,173517,272390357.3903574,294.27658308,292.85852706000003,291.09095019,293.23800684,24329,3279870
129.43,128.9,127.25,127.36,161462,24911126,17.107316226000002,17.001982998,16.232650434000004,16.257317076000003,205065,355601920.6019206,295.92432423,295.60476231,294.16673367,294.38643249000006,18840,3160515
128.56,128.15,126.11,126.39,186210,24239464,17.22330944334,17.022649644,16.5666501,16.667983332000002,93062,162509307.5093075,294.87576168,294.4962819,290.48178528,290.82131982000004,22671,2792430
127.18,125.52,124.22,126.46,282978,36017661,17.147316185999998,16.470650196,16.339983659999998,17.119982880000002,103691,151971271.97127196,292.38917049,289.51311321000003,287.35607025,291.73007403,42140,5262951
126.37,125.51,124.75,125.44,194209,28418996,16.706583293399998,16.322650344,16.27998372,16.462650204,65861,92646692.64669265,290.98110078,289.12364712,288.42460542000003,289.15360605,39428,5810008
125.79,125.5,123.57,124.29,211710,27235835,16.245317088,16.131983868,15.79621087044,16.1333172,76080,100670830.67083068,288.84403044000004,288.32474232000004,284.83952013000004,286.8068232,34521,4281181
127.93,127.13,123.82,124.91,245852,30915084,16.132650534000003,15.967984032000002,15.734650932000001,15.98331735,77935,105125145.12514512,290.5025568048,289.60299000000003,283.82091651,287.19628929,37572,4329369
125.55,123.35,123.04,124.11,286571,33944923,15.497984502000001,15.133984866,14.9666517,15.467317866,138340,162522102.5221025,285.0092874,282.4128468,281.45416104,283.92077961,52955,5831706
125.88,124.73,123.7,123.87,191848,25266315,15.633317700000001,15.487317846,15.1999848,15.286651380000002,83665,108786288.7862888,286.6301653761,284.92939692,283.36154625,283.52132721000004,25493,3202835
126.71,126.02,123.7,124.26,187850,24722708,15.495984504,15.463317870000001,15.01665165,15.287984712,79212,109439749.43974943,287.3061387,286.63705593,282.86223075000004,283.1118885,25643,3135635
129.38,128.93,126.46,126.75,213884,30112216,15.3999846,15.221984778000001,15.099984899999999,15.299318034000002,81276,112249207.24920724,290.77138827000005,289.16359236,287.31612501,287.37604287,25972,3911224
130.46,128.07,127.92,128.305,188553,25770539,14.815985184000002,14.068652598,13.927986072,14.797318536,195062,266800256.80025682,290.14225074,287.5058649,286.68698747999997,286.69697379,25899,3833735
127.5894,126.22,125.7607,126.52,161872,23706934,13.7333196,13.690652976000003,13.016653650000002,13.51998648,208154,307893232.8932329,286.9721964936,285.58849338000005,284.65976655000003,285.65839755,20058,2515977
127.5273,126.9,126.58,127.43,115599,15293260,13.826652840000001,13.671986328000001,13.069320263999998,13.183986815999999,168913,270058755.05875504,288.46455066000004,288.08507088000005,287.09642619000005,287.37604287,18941,3634882
128.24,127.67,126.52,126.62,118985,15396485,13.595986404,12.848653818,12.785320548000001,13.273320060000001,188157,280278085.2780853,288.2049066,287.25620714999997,286.66691499690006,286.95661785000004,26015,3147661
126.29,126.18,124.74,126.2,187282,23603810,13.297653369,13.032653633999999,12.414654252,12.955987044,237580,398207528.2075282,284.7195845469,283.67112186,282.08329857000007,284.7096981,38369,4419359
127.415,126.24,125.97,126.91,115085,14123358,13.331986667999999,12.708653958,12.5833540833,13.321986678000002,138857,212048792.04879203,285.72830172,284.37016356,283.62119031000003,285.26893146000003,15279,1809862
128.0,126.16,126.05,126.98,144831,23128359,12.999986999999999,12.57998742,12.523320810000001,12.74665392,104204,154693669.69366968,285.683363325,281.69383247999997,281.69383247999997,284.62980762,19308,2455572
125.39,124.94,124.04,125.38,172867,22763140,12.825987174,12.657320676000001,12.33599433066,12.473320860000001,111314,179529749.5297495,280.8150372,279.85635144,278.17865136,280.39561218,45890,6641224
125.76,125.73,124.78,125.26,134268,16829613,12.816987183000002,12.547987452000001,12.467987532000002,12.58332075,77288,118897243.8972439,281.53405152000005,280.48548897,279.29711808,280.57536576,32933,3840044
124.615,123.68,123.32,124.23,176192,26646769,12.66134733864,12.343987656,12.27332106,12.33998766,97931,156101136.10113612,278.57810376,276.92037630000004,276.73063641000005,277.67933586000004,29537,5428476
124.37,119.84,119.01,123.85,315885,37983637,12.445320888000001,11.931321402,11.799448200539999,12.367320966,129294,195966345.96634597,278.00888409,276.00163578,274.5236619,276.77058165,40932,5589736
123.28,123.16,120.6522,121.28,223842,29382642,12.931987067999998,12.906653760000001,11.973988026,12.07332126,131333,207113037.1130371,282.1890535929,282.05333964,278.08877457000006,278.57810376,25975,3598917
125.87,125.83,124.21,124.95,185851,24926140,13.41853324812,13.105986894,12.78989387676,13.245320088,123499,202661542.66154265,284.5099719,284.47002666000003,281.824653141,283.86086175,29720,4674039
127.97,127.82,125.6,126.44,152967,21458961,14.066652600000001,13.729986269999998,13.453319880000002,13.629319704,177543,303632568.6325686,287.101419345,286.36742556,284.10053319,284.81954751,33514,4294539
132.25,131.4,128.26,129.19,240618,33885588,14.05623927708,13.6333197,13.5665864334,13.666653,157396,240053145.05314505,290.43185373,289.27344177000003,287.3061387,287.5058649,24073,3180251
134.08,132.6,132.0,132.4,203418,26477098,14.462652204000001,14.191985807999998,13.933986066000001,14.016652650000001,101187,158775743.77574378,292.40914311,290.601621,290.47179897,290.96112816000004,25937,3862913
134.24,132.1,131.2757,133.88,163000,23913731,14.72665194,14.473318860000001,14.233319100000001,14.609552057099998,105396,174803229.80322978,293.01830802,290.55168945,289.78274358000004,292.598883,21447,2923455
131.97,131.49,130.71,131.4,136839,17092464,14.891985108,13.950652716,13.9333194,14.86331847,142263,227963387.96338797,290.85127875,289.89259299,289.43322273,290.26208646000003,19920,2310269
132.67,132.32,131.56,131.98,130109,17200848,14.326652340000003,14.260652406,13.83400616598,14.025319308,74417,122524022.52402253,291.57029307000005,291.22077222,290.23003040490005,291.0010734,14807,2304977
133.79,132.45,131.64,132.26,125537,17821703,14.44331889,14.327985672,14.026652640000002,14.08331925,72350,111501141.5011415,291.53034783000004,290.85127875,290.0025422631,290.91119661,15736,2000184
133.73,132.85,132.53,132.63,106459,14517785,15.1333182,15.001984998000001,14.284652382000003,14.365318968,114458,184752229.75222975,290.05237395,289.34334594,289.01379771000006,289.35333225,18631,2511178
135.24,135.16,133.57,134.19,209168,25934458,15.649317684,14.982651684000002,14.837318496000002,15.247984752,132940,190737010.73701072,293.3977878,292.04963595,290.85127875,291.23075853,31492,4622740
135.93,135.69,133.81,135.0,165317,23744441,15.184651482000001,15.095318237999999,14.737318596000001,15.007318326000002,66891,98627123.62712362,293.48766459,292.83855444,291.38055318,292.38917049,38864,7606221
137.66,136.95,135.72,137.45,200158,33042592,15.126651540000001,14.641318691999999,14.42331891,14.8666518,117871,177952107.95210797,296.16399567,295.61474862,293.4764799228,295.91433792,31803,4408953
137.73,136.97,136.46,136.58,175878,36727892,14.811985188000001,14.790651876000002,14.366652299999998,14.414652252,74901,123031293.03129303,296.7931332,295.16536467000003,295.06550157000004,295.38506349000005,23820,3628064
138.4,137.78,137.0,137.0,135770,20628841,15.057318276000002,14.909318424,14.734651932,14.882651784000002,59144,86261651.26165125,295.86440637,294.86577537,294.74593964999997,295.4949129,28465,3549268
137.59,133.43,132.73,137.25,261084,33327420,15.022651644000002,14.650652015999999,14.632652034000001,14.959318374,56478,92731157.73115772,295.00558371000005,292.00969071000003,291.89984130000005,294.94566585,22990,2975598
135.74,133.93,133.6,134.35,165662,23657745,15.148651518000001,14.617985382,14.53998546,14.687318646000001,85126,127608247.6082476,293.58752769,291.68014248,291.62022462,293.01830802,25502,4210219
134.71,134.15,133.51,134.14,127576,16557482,14.859985140000001,14.855985144,14.48998551,14.62998537,61253,95095745.0957451,293.32788363000003,292.87849968,292.20941691,292.58889669,22606,2722438
134.6,133.96,133.1558,134.57,142931,30042969,15.011318322000001,14.897318436,14.719985280000001,14.732651934000002,65542,102770862.77086276,294.80585751,294.34648725,293.30791101,293.87713068,39623,5751367
136.7,135.68,134.97,136.63,172751,22654160,15.539951126700002,15.144651521999998,15.085318248,15.347317986,81245,123569583.56958356,298.47083328,296.91296892,295.61474862,297.96153147,35666,3934539
136.59,136.58,135.34,136.12,140664,15237843,15.276651390000001,14.969985030000002,14.814651852,15.259318074,98566,138885543.88554388,297.82172313,297.82172313,295.96426947000003,296.88300999000006,35455,3786142
137.74,137.46,136.295,136.8,100839,13629296,16.104650562,15.659984340000001,15.633984366,15.959317374000001,138210,213017433.01743302,300.10858812,300.06864288,298.3409113869,298.48081959,16312,1853807
137.33,137.06,135.72,135.94,138765,18141140,15.69665097,15.53998446,15.386651280000002,15.637984362000001,67956,105986175.98617598,299.94880716,299.68916310000003,297.333392571,298.77042258,22665,2198161
137.1,136.96,135.3701,136.4,127681,16779748,15.48331785,15.355984644000001,15.243984756000001,15.415984584,55631,88208218.20821822,298.64060055000004,298.14128505,297.33239394000003,298.30106601,25123,2954473
136.97,136.46,135.8,136.0,139628,19953097,15.3999846,15.337317996,15.151984848000001,15.264651401999998,57305,92862617.86261785,298.85031306,298.62062793,296.78314689,296.82309213,16040,1544268
138.58,137.85,137.02,137.13,155042,24204362,15.929317404,15.927984072,15.542651124,15.609984390000001,91107,137186177.18617716,300.97739709,299.9887524,299.0899845,299.70913572,27464,2498169
139.22,138.4,137.87,138.2,165860,22327942,16.0999839,15.90665076,15.71998428,15.875984123999999,72792,112716562.7165627,300.90749292,300.51802683,299.51939583,300.63786255,35184,5142102
139.13,138.9,138.0099,138.85,134851,18936832,16.358650308,16.338650328,15.980650686000002,15.98331735,84592,138007953.00795302,302.07589119000005,302.07589119000005,300.84757506,301.19709591000003,39829,4346086
139.54,138.9,138.46,139.44,127543,16651457,16.961316372,16.8999831,16.323983676,16.5333168,106556,165001545.001545,302.47534359,302.04593226,301.55300799840006,302.44538466,31194,4400619
139.05,137.08,136.52,138.96,172111,22726128,16.901983098,16.825316508,16.5288168045,16.61998338,78942,122234957.23495723,302.18574060000003,301.02732864,300.77767089,301.99600071000003,18012,2233868
137.93,136.27,136.22,137.7,146048,20210956,17.220649446,16.990649676,16.88998311,17.044649622,82873,146471051.47105148,301.22705484,299.07001188000004,299.07001188000004,301.05728757,23799,2142446
136.62,136.42,134.67,135.55,232583,30808707,17.04998295,16.902649764,16.792316541,17.00331633,54453,71467316.46731646,300.54798576,300.23841015,298.01146302,298.48081959,32128,4371462
140.67,136.62,136.45,140.22,338252,48992364,17.330649336,17.211982788,16.974649692,17.045982954,72846,105726255.72625573,301.40680842,298.4908059,298.28109339,301.36686318,34314,3510336
139.19,138.43,137.33,137.41,170373,25080760,17.476982523,17.045316288000002,16.94605638726,17.24998275,77482,102694197.69419768,299.79901251,299.16987498,298.36098387,298.92021723,23541,2571272
139.99,139.29,138.03,139.76,134742,18034589,17.365315968,17.344649322000002,16.9666497,17.113982886,54224,75346890.34689035,301.34689056,301.30694532000007,299.54935475999997,300.49805421,22954,2209434
140.74,140.72,138.85,138.9,137831,20738275,17.737982262,17.658649008,17.21065612266,17.277982722,129396,166092691.0926911,302.75496027,302.75496027,300.41816373,300.52801314,22903,2391180
140.61,140.19,139.3215,140.43,146680,18356883,15.633317700000001,15.254651412,15.03665829666,15.5666511,244149,336274116.2741162,302.320555785,301.29695900999997,300.42115962300005,302.29559001,29598,3671366
141.675,141.34,140.3,140.37,122525,19037600,15.350651316,15.202651463999999,14.81665185,15.127984871999999,119800,150415605.4156054,303.56385138,303.35413887,301.9860144,302.08587750000004,22939,2711708
141.51,141.03,139.3663,141.5,123133,16605870,15.729317604,15.717984282000002,15.068818264499999,15.139318194000001,95771,139100104.1001041,303.26426208000004,302.80489182,302.16576798,303.21433053,22551,2326293
141.2199,140.35,139.8005,140.14,114240,16846528,16.223983776,16.150650516,15.478651188,15.526651140000002,84660,121635331.63533163,302.4853299,302.06590488,300.80762982000005,301.23704115,42000,4702228
140.49,136.27,135.08,140.33,271994,38598786,16.445316888,16.107317226000003,15.776657556660002,16.1999838,103303,137673257.67325768,302.52527514,298.82035413000006,296.48355759,302.34552156,62815,8580642
140.9383,138.06,136.93,137.0,321336,40557502,16.300650366,15.58998441,15.451317882000001,16.17665049,92926,123892863.89286388,302.18574060000003,296.11406412,295.2555410493,298.91023092,110677,10111561
138.32,136.9,135.26,138.09,244993,30791624,15.751317582000002,15.622651044000001,15.281984717999999,15.423317910000002,68136,92047307.04730704,295.40503611,294.01693902000005,292.18944429,295.11543312,73086,7481079
133.9298,132.21,130.78,133.3,331409,42749551,15.42447124218,15.221318112,15.051651615,15.306651359999998,79017,105424290.42429042,289.45319535000004,285.17905467,282.95210754,289.37330486999997,65147,6926012
135.68,134.69,133.21,133.8,237995,32696651,15.4999845,15.38331795,15.049984949999999,15.458651208000001,62191,83463083.46308346,289.29341439,288.98383878,285.53856183,287.14635774000004,54076,5461850
135.65,135.28,131.8284,133.79,240547,33414539,15.57123776208,15.561317771999999,15.05331828,15.099984899999999,54448,71647571.64757165,290.06236026,289.26345546000005,283.27166946000006,285.61845231,67867,5787695
138.99,138.89,135.93,136.6,183288,27496508,15.98665068,15.88665078,15.50998449,15.62998437,52901,79115314.11531411,294.87576168,294.87576168,290.28205908,290.86126506,39778,5600858
139.38,137.71,136.46,138.61,173383,23466701,15.930650736000002,15.667317666,15.587317746,15.736884263100002,44349,58473718.47371847,294.54621345,292.95839016,290.92118292,293.86714437,34075,4104704
137.86,135.79,135.24,137.07,144470,20484348,15.717984282000002,15.267318066,15.24998475,15.532651134,50931,69959124.95912495,291.80996451,289.41325011000004,288.29478339,291.18082698,27484,2768347
138.8,138.6,135.0,136.05,204661,25496593,15.733317600000001,15.666651,15.169984830000002,15.253984746,54779,73035043.03504303,295.43499504,293.87713068,288.604359,288.97385247,30896,3632135
136.92,133.98,133.67,136.36,228362,32527251,15.4333179,14.641318691999999,14.445985554000002,15.413984586000002,107794,143439008.43900844,290.01242871000005,285.20901360000005,285.0092874,289.3034007,52957,5805455
134.58,133.68,132.25,134.39,210630,28125416,14.770651896000002,14.375985623999998,14.10331923,14.723985276,86777,123479403.47940348,286.84676844,285.94800054,283.63117662,286.12775412,43234,5810749
136.46,136.13,134.72,134.88,156841,25026151,14.815985184000002,14.662652004000002,14.401318932000002,14.443985556,55936,78110718.1107181,290.61160731,290.18219598,287.68561848,287.74553634,26054,3910954
138.55,138.41,136.885,137.855,157806,24370543,15.188651478,15.121984878000001,14.779985219999999,14.947318386000001,53712,79676299.67629968,294.36645986999997,293.66741817,292.73869134,293.45770566000004,25158,2828671
138.71,137.26,137.24,138.21,129615,21188998,15.272651394,15.057318276000002,14.969318364000001,15.174651492000002,42497,62557967.55796755,293.61748662,291.39053949000004,291.21078591,293.08821219000004,28066,2987421
139.4935,138.79,138.0,138.55,116471,14982314,14.881318452,14.721985278,14.50665216,14.800651865999999,77839,116996276.99627699,294.16673367,293.77726758,293.02829433,293.74730865,27633,3006067
139.2,137.78,136.29,138.66,134792,18709662,15.02665164,14.80998519,14.547985452,14.853318480000002,62788,98474558.47455847,295.2261812979,293.66741817,291.70011510000006,294.54621345,29372,4230280
138.35,133.39,132.8,137.1897,289935,38515386,14.744651922000001,14.09331924,14.066652600000001,14.664652002,92453,128395688.3956884,294.04689795,286.07782257,284.7096981,292.22938953,55563,6060643
135.56,135.45,133.9,134.99,147288,20325271,14.334652332,14.333319000000001,14.102652564,14.23998576,48649,75816285.8162858,289.26345546000005,289.26345546000005,286.84676844,288.51448221000004,27826,2682329
136.72,135.74,134.66,136.39,151483,23115635,14.58665208,14.271985728000002,14.135319198,14.382652284,52919,81310986.31098631,291.21078591,288.15497505,287.29615239000003,290.81133351,33341,3418040
135.76,135.56,133.55,134.88,134512,17410828,14.483318850000002,14.372652294,14.153985846000001,14.245985754000001,37156,48579423.57942358,290.31201801,290.1023055,286.49724759,287.35607025,33253,3831042
